frame,wallclock,cycle_ms,post_ms,lv_ms,find_ms,dirreq,fetch_ms,http,bytes,medY,meanY,p90,sat,file,note
1,09:42:06,12717,70,46,2190,4,11,200,4631,0.02968,0.02825,0.239,0.0000,IMG_0275.CR3,
2,09:42:21,12442,84,46,1929,4,12,200,4621,0.02970,0.02825,0.239,0.0000,IMG_0276.CR3,
3,09:42:37,13111,68,48,2595,4,15,200,5413,0.01944,0.01832,0.188,0.0000,IMG_0277.CR3,
4,09:42:52,13107,61,46,2590,4,16,200,5242,0.01894,0.01790,0.184,0.0000,IMG_0278.CR3,
5,09:43:06,12647,65,44,2131,4,15,200,5087,0.01875,0.01774,0.184,0.0000,IMG_0279.CR3,
6,09:43:21,12365,73,44,1851,4,14,200,5051,0.01861,0.01758,0.184,0.0000,IMG_0280.CR3,
7,09:43:36,12414,73,47,1899,4,14,200,4972,0.01855,0.01753,0.184,0.0000,IMG_0281.CR3,
8,09:43:51,12388,69,48,1873,4,14,200,4940,0.01831,0.01734,0.184,0.0000,IMG_0282.CR3,
9,09:44:07,13575,80,45,3062,4,12,200,4812,0.01788,0.01697,0.180,0.0000,IMG_0283.CR3,
10,09:44:21,12947,65,44,2435,4,12,200,4885,0.01800,0.01708,0.180,0.0000,IMG_0284.CR3,
11,09:44:36,12365,71,45,1848,4,17,200,4792,0.01776,0.01684,0.180,0.0000,IMG_0285.CR3,
12,09:44:51,12679,63,47,2167,4,11,200,4768,0.01774,0.01682,0.180,0.0000,IMG_0286.CR3,
13,09:45:06,12436,82,45,1923,4,11,200,4798,0.01896,0.01797,0.188,0.0000,IMG_0287.CR3,
14,09:45:20,11263,81,44,740,2,22,200,4721,0.01989,0.01886,0.192,0.0000,IMG_0289.CR3,
15,09:45:34,10864,74,45,351,2,12,200,4723,0.01935,0.01838,0.188,0.0000,IMG_0290.CR3,
16,09:45:50,11255,64,51,741,2,12,200,4701,0.01942,0.01842,0.188,0.0000,IMG_0291.CR3,
17,09:46:05,10985,72,44,472,2,12,200,4723,0.01946,0.01847,0.188,0.0000,IMG_0292.CR3,
18,09:46:20,11291,64,46,777,2,13,200,4687,0.01948,0.01851,0.188,0.0000,IMG_0293.CR3,
19,09:46:34,10884,66,44,373,2,11,200,4672,0.01955,0.01856,0.188,0.0000,IMG_0294.CR3,
20,09:46:50,11304,67,44,791,2,11,200,4712,0.01973,0.01874,0.192,0.0000,IMG_0295.CR3,
21,09:47:04,10895,72,72,382,2,11,200,4694,0.01987,0.01889,0.192,0.0000,IMG_0296.CR3,
22,09:47:20,11296,64,45,782,2,12,200,4694,0.02014,0.01912,0.192,0.0000,IMG_0297.CR3,
23,09:47:35,10993,71,44,387,2,104,200,4686,0.02043,0.01938,0.196,0.0000,IMG_0298.CR3,
24,09:47:50,11333,73,48,820,2,12,200,4669,0.02062,0.01955,0.196,0.0000,IMG_0299.CR3,
25,09:48:04,10520,71,45,19,2,0,0,0,-1.00000,-1.00000,-1.000,-1.0000,,prevdir
