frame,wallclock,cycle_ms,post_ms,lv_ms,find_ms,dirreq,fetch_ms,http,bytes,medY,meanY,p90,sat,file,note
1,10:26:52,11821,64,56,274,2,30,200,5049,0.11087,0.10365,0.439,0.0000,IMG_0455.CR3,
2,10:27:07,11840,63,45,325,2,15,200,5025,0.11281,0.10537,0.439,0.0000,IMG_0456.CR3,
3,10:27:22,11861,72,45,344,2,15,200,5024,0.11333,0.10579,0.443,0.0000,IMG_0457.CR3,
4,10:27:37,11821,64,45,304,2,15,200,5030,0.11240,0.10491,0.439,0.0000,IMG_0458.CR3,
5,10:27:52,11810,74,44,288,2,20,200,5015,0.11026,0.10298,0.435,0.0000,IMG_0459.CR3,
6,10:28:07,11875,68,44,360,2,15,200,5027,0.10744,0.10047,0.431,0.0000,IMG_0460.CR3,
7,10:28:22,11826,72,44,288,2,37,200,5039,0.10332,0.09665,0.424,0.0000,IMG_0461.CR3,
8,10:28:37,11885,72,52,368,2,16,200,5007,0.09881,0.09235,0.416,0.0000,IMG_0462.CR3,
9,10:28:52,11828,73,45,308,2,19,200,5004,0.09397,0.08787,0.408,0.0000,IMG_0463.CR3,
10,10:29:07,11879,71,46,363,2,15,200,4984,0.08903,0.08327,0.396,0.0000,IMG_0464.CR3,
11,10:29:22,11842,64,44,318,2,23,200,4957,0.08484,0.07940,0.388,0.0000,IMG_0465.CR3,
12,10:29:37,11888,74,48,370,2,17,200,4944,0.08067,0.07575,0.380,0.0000,IMG_0466.CR3,
13,10:29:52,11932,65,44,408,2,24,200,4960,0.07793,0.07320,0.373,0.0000,IMG_0467.CR3,
14,10:30:07,11841,70,46,323,2,16,200,4956,0.07399,0.06964,0.365,0.0000,IMG_0468.CR3,
15,10:30:22,11934,73,45,399,2,35,200,4965,0.07164,0.06752,0.361,0.0000,IMG_0469.CR3,
16,10:30:37,11918,66,45,402,2,14,200,4932,0.06994,0.06593,0.357,0.0000,IMG_0470.CR3,
17,10:30:52,11854,73,44,337,2,15,200,4946,0.06841,0.06451,0.353,0.0000,IMG_0471.CR3,
18,10:31:07,11922,74,45,407,2,15,200,4898,0.06716,0.06341,0.349,0.0000,IMG_0472.CR3,
19,10:31:22,11855,84,45,339,2,14,200,4886,0.06637,0.06261,0.349,0.0000,IMG_0473.CR3,
20,10:31:37,11912,64,45,397,2,14,200,4954,0.06569,0.06196,0.345,0.0000,IMG_0474.CR3,
21,10:31:52,11971,64,44,455,2,14,200,4905,0.06455,0.06088,0.345,0.0000,IMG_0475.CR3,
22,10:32:07,11965,72,45,450,2,14,200,4884,0.06368,0.06002,0.341,0.0000,IMG_0476.CR3,
23,10:32:22,11963,64,45,446,2,16,200,4932,0.06310,0.05947,0.341,0.0000,IMG_0477.CR3,
24,10:32:37,11960,69,51,429,2,30,200,4880,0.06299,0.05933,0.337,0.0000,IMG_0478.CR3,
25,10:32:52,11873,68,45,358,2,14,200,4914,0.06259,0.05897,0.337,0.0000,IMG_0479.CR3,
26,10:33:07,11938,67,44,417,2,19,200,4899,0.06355,0.05986,0.341,0.0000,IMG_0480.CR3,
27,10:33:22,11989,73,45,473,2,15,200,4926,0.06560,0.06174,0.345,0.0000,IMG_0481.CR3,
28,10:33:37,11987,72,47,467,2,19,200,4930,0.06568,0.06187,0.345,0.0000,IMG_0482.CR3,
29,10:33:52,11994,63,48,478,2,15,200,4905,0.06581,0.06204,0.345,0.0000,IMG_0483.CR3,
30,10:34:07,12005,68,45,487,2,16,200,4966,0.06653,0.06278,0.349,0.0000,IMG_0484.CR3,
31,10:34:22,11974,74,45,437,2,35,200,4894,0.06819,0.06439,0.353,0.0000,IMG_0485.CR3,
32,10:34:37,12023,63,45,508,2,14,200,4928,0.07022,0.06628,0.357,0.0000,IMG_0486.CR3,
33,10:34:52,11990,76,46,476,2,14,200,4948,0.07243,0.06825,0.361,0.0000,IMG_0487.CR3,
34,10:35:07,12009,72,45,488,2,20,200,4931,0.07499,0.07062,0.369,0.0000,IMG_0488.CR3,
35,10:35:22,12027,74,48,510,2,15,200,4936,0.07751,0.07293,0.373,0.0000,IMG_0489.CR3,
36,10:35:37,12131,67,44,613,2,17,200,4913,0.08034,0.07549,0.380,0.0000,IMG_0490.CR3,
37,10:35:52,12023,67,45,507,2,15,200,4948,0.08363,0.07861,0.388,0.0000,IMG_0491.CR3,
38,10:36:07,12028,68,44,511,2,17,200,4965,0.08666,0.08140,0.392,0.0000,IMG_0492.CR3,
39,10:36:22,12040,68,55,521,2,18,200,4983,0.09014,0.08457,0.400,0.0000,IMG_0493.CR3,
40,10:36:37,12150,65,45,634,2,14,200,5021,0.09486,0.08889,0.408,0.0000,IMG_0494.CR3,
41,10:36:52,12041,73,45,526,2,14,200,5054,0.10352,0.09681,0.424,0.0000,IMG_0495.CR3,
42,10:37:07,12042,64,48,527,2,14,200,5066,0.11246,0.10505,0.439,0.0000,IMG_0496.CR3,
43,10:37:22,12083,64,44,556,2,26,200,5089,0.11569,0.10803,0.447,0.0000,IMG_0497.CR3,
44,10:37:37,12170,67,47,655,2,14,200,5123,0.12924,0.12033,0.467,0.0000,IMG_0498.CR3,
45,10:37:52,12187,68,48,670,2,16,200,5136,0.12583,0.11740,0.463,0.0000,IMG_0499.CR3,
46,10:38:07,12106,71,45,590,3,15,200,5063,0.11614,0.10851,0.447,0.0000,IMG_0500.CR3,
47,10:38:22,11559,71,47,40,2,18,200,5064,0.11976,0.11178,0.451,0.0000,IMG_0501.CR3,
48,10:38:37,11560,69,49,44,2,14,200,5167,0.12950,0.12055,0.467,0.0000,IMG_0502.CR3,
