frame,wallclock,cycle_ms,post_ms,lv_ms,find_ms,dirreq,fetch_ms,http,bytes,medY,meanY,p90,sat,file,note
1,09:54:35,11704,63,52,170,2,21,200,4772,0.03158,0.02993,0.243,0.0000,IMG_0326.CR3,
2,09:54:50,11687,72,45,172,2,14,200,4757,0.03270,0.03101,0.247,0.0000,IMG_0327.CR3,
3,09:55:05,11690,62,45,173,2,16,200,4764,0.03402,0.03224,0.251,0.0000,IMG_0328.CR3,
4,09:55:20,11727,72,44,210,2,15,200,4741,0.03536,0.03353,0.259,0.0000,IMG_0329.CR3,
5,09:55:35,11696,68,44,178,2,16,200,4846,0.03673,0.03480,0.263,0.0000,IMG_0330.CR3,
6,09:55:50,11708,62,45,192,2,14,200,4801,0.03828,0.03631,0.267,0.0000,IMG_0331.CR3,
7,09:56:05,11732,64,45,216,2,15,200,4798,0.03967,0.03763,0.275,0.0000,IMG_0332.CR3,
8,09:56:20,11712,65,45,196,2,15,200,4850,0.04116,0.03902,0.278,0.0000,IMG_0333.CR3,
9,09:56:35,11706,65,45,185,2,19,200,4815,0.04280,0.04054,0.282,0.0000,IMG_0334.CR3,
10,09:56:50,11715,73,45,199,2,16,200,4839,0.04435,0.04196,0.286,0.0000,IMG_0335.CR3,
11,09:57:05,11739,65,44,224,2,14,200,4851,0.04577,0.04331,0.294,0.0000,IMG_0336.CR3,
12,09:57:20,11720,75,44,205,2,14,200,4863,0.04714,0.04466,0.298,0.0000,IMG_0337.CR3,
13,09:57:35,11736,67,45,218,2,18,200,4864,0.04864,0.04602,0.302,0.0000,IMG_0338.CR3,
14,09:57:50,11765,71,45,243,2,20,200,4842,0.04993,0.04726,0.306,0.0000,IMG_0339.CR3,
15,09:58:05,11716,87,44,201,2,15,200,4912,0.05119,0.04838,0.310,0.0000,IMG_0340.CR3,
16,09:58:20,11737,61,45,221,2,14,200,4885,0.05247,0.04962,0.314,0.0000,IMG_0341.CR3,
17,09:58:35,11774,72,46,258,2,15,200,4889,0.05388,0.05088,0.318,0.0000,IMG_0342.CR3,
18,09:58:50,11746,65,44,227,2,19,200,4915,0.05501,0.05198,0.318,0.0000,IMG_0343.CR3,
19,09:59:05,11807,66,45,272,2,35,200,4937,0.05627,0.05315,0.322,0.0000,IMG_0344.CR3,
20,09:59:20,11752,73,44,237,2,14,200,4897,0.05754,0.05429,0.325,0.0000,IMG_0345.CR3,
21,09:59:35,11734,78,45,219,2,14,200,4941,0.05842,0.05508,0.329,0.0000,IMG_0346.CR3,
22,09:59:50,11810,65,45,293,2,15,200,4898,0.05932,0.05596,0.329,0.0000,IMG_0347.CR3,
23,10:00:05,11796,67,45,263,2,31,200,4912,0.06026,0.05685,0.333,0.0000,IMG_0348.CR3,
24,10:00:20,11754,65,47,238,2,14,200,4911,0.06026,0.05686,0.333,0.0000,IMG_0349.CR3,
25,10:00:35,11769,65,45,253,2,14,200,4935,0.06084,0.05744,0.333,0.0000,IMG_0350.CR3,
26,10:00:50,11819,68,47,303,2,15,200,4899,0.06121,0.05779,0.337,0.0000,IMG_0351.CR3,
27,10:01:05,11776,73,45,260,2,15,200,4919,0.06180,0.05826,0.337,0.0000,IMG_0352.CR3,
28,10:01:20,11823,66,51,307,2,15,200,4921,0.06211,0.05862,0.337,0.0000,IMG_0353.CR3,
29,10:01:35,11788,66,45,257,2,30,200,4929,0.06223,0.05871,0.337,0.0000,IMG_0354.CR3,
30,10:01:50,11793,72,47,273,2,18,200,4899,0.06248,0.05901,0.337,0.0000,IMG_0355.CR3,
31,10:02:05,11849,82,44,332,2,16,200,4950,0.06293,0.05940,0.341,0.0000,IMG_0356.CR3,
32,10:02:20,11858,64,47,341,2,17,200,4921,0.06297,0.05938,0.341,0.0000,IMG_0357.CR3,
33,10:02:35,11798,72,44,276,2,20,200,4933,0.06324,0.05961,0.341,0.0000,IMG_0358.CR3,
34,10:02:50,11856,64,54,320,2,35,200,4902,0.06368,0.06001,0.341,0.0000,IMG_0359.CR3,
35,10:03:05,11852,73,44,335,2,16,200,4932,0.06378,0.06013,0.341,0.0000,IMG_0360.CR3,
36,10:03:20,11799,73,47,282,2,16,200,4952,0.06411,0.06044,0.341,0.0000,IMG_0361.CR3,
37,10:03:35,11878,78,44,363,2,14,200,4969,0.06427,0.06066,0.345,0.0000,IMG_0362.CR3,
38,10:03:50,11813,76,48,283,2,28,200,4923,0.06457,0.06093,0.345,0.0000,IMG_0363.CR3,
39,10:04:05,11866,74,45,352,2,14,200,4960,0.06482,0.06118,0.345,0.0000,IMG_0364.CR3,
40,10:04:20,11836,71,45,319,2,15,200,4925,0.06478,0.06111,0.345,0.0000,IMG_0365.CR3,
41,10:04:35,11879,74,47,363,2,15,200,4928,0.06482,0.06109,0.345,0.0000,IMG_0366.CR3,
