frame,wallclock,cycle_ms,post_http,post_ms,notify_http,notify_ms,polls,fetch_ms,fetch_http,file,note
27,14:36:33,8899,200,103,200,899,3,0,0,IMG_0980.CR3,
28,14:36:48,8933,200,113,200,933,3,0,0,IMG_0981.CR3,
29,14:37:03,8952,200,129,200,952,3,0,0,IMG_0982.CR3,
30,14:37:18,8952,200,143,200,951,3,0,0,IMG_0983.CR3,
31,14:37:33,8958,200,165,200,958,3,0,0,IMG_0984.CR3,
32,14:37:48,8992,200,178,200,991,3,0,0,IMG_0985.CR3,
33,14:38:03,9013,200,195,200,1012,3,0,0,IMG_0986.CR3,
34,14:38:18,8875,200,70,200,874,4,0,0,IMG_0987.CR3,
35,14:38:33,8886,200,94,200,886,3,0,0,IMG_0988.CR3,
36,14:38:48,8906,200,104,200,906,3,0,0,IMG_0989.CR3,
37,14:39:03,8927,200,112,200,927,3,0,0,IMG_0990.CR3,
38,14:39:18,8930,200,124,200,930,3,0,0,IMG_0991.CR3,
39,14:39:33,8940,200,146,200,940,3,0,0,IMG_0992.CR3,
40,14:39:48,8952,200,152,200,952,3,0,0,IMG_0993.CR3,
41,14:40:03,8983,200,172,200,983,3,0,0,IMG_0994.CR3,
42,14:40:18,9020,200,188,200,1020,3,0,0,IMG_0995.CR3,
43,14:40:33,8866,200,71,200,866,4,0,0,IMG_0996.CR3,
44,14:40:48,8888,200,76,200,887,3,0,0,IMG_0997.CR3,
45,14:41:03,8887,200,90,200,887,3,0,0,IMG_0998.CR3,
46,14:41:18,8919,200,110,200,919,3,0,0,IMG_0999.CR3,
47,14:41:33,8940,200,123,200,940,3,0,0,IMG_1000.CR3,
48,14:41:48,8937,200,135,200,937,3,0,0,IMG_1001.CR3,
49,14:42:03,8944,200,152,200,943,3,0,0,IMG_1002.CR3,
50,14:42:18,8887,200,80,200,886,3,0,0,IMG_1003.CR3,
51,14:42:33,8894,200,80,200,894,4,0,0,IMG_1004.CR3,
52,14:42:48,8896,200,97,200,896,3,0,0,IMG_1005.CR3,
53,14:43:03,8911,200,106,200,911,3,0,0,IMG_1006.CR3,
54,14:43:18,8936,200,121,200,936,3,0,0,IMG_1007.CR3,
55,14:43:33,8947,200,135,200,947,3,0,0,IMG_1008.CR3,
56,14:43:48,8959,200,150,200,959,3,0,0,IMG_1009.CR3,
57,14:44:03,8967,200,169,200,967,3,0,0,IMG_1010.CR3,
58,14:44:18,8992,200,186,200,992,3,0,0,IMG_1011.CR3,
59,14:44:33,8869,200,61,200,869,4,0,0,IMG_1012.CR3,
60,14:44:48,8872,200,77,200,872,3,0,0,IMG_1013.CR3,
61,14:45:03,8906,200,87,200,906,3,0,0,IMG_1014.CR3,
62,14:45:18,8898,200,102,200,898,3,0,0,IMG_1015.CR3,
63,14:45:33,8935,200,125,200,935,3,0,0,IMG_1016.CR3,
64,14:45:48,8953,200,131,200,952,3,0,0,IMG_1017.CR3,
65,14:46:03,8953,200,146,200,953,3,0,0,IMG_1018.CR3,
66,14:46:18,8953,200,164,200,952,3,0,0,IMG_1019.CR3,
67,14:46:33,8975,200,181,200,974,3,0,0,IMG_1020.CR3,
68,14:46:48,8887,200,63,200,886,4,0,0,IMG_1021.CR3,
69,14:47:03,8886,200,77,200,886,3,0,0,IMG_1022.CR3,
70,14:47:18,8889,200,82,200,889,3,0,0,IMG_1023.CR3,
71,14:47:33,8906,200,97,200,906,3,0,0,IMG_1024.CR3,
72,14:47:48,8928,200,122,200,928,3,0,0,IMG_1025.CR3,
73,14:48:03,8952,200,125,200,952,3,0,0,IMG_1026.CR3,
74,14:48:18,8950,200,140,200,949,3,0,0,IMG_1027.CR3,
75,14:48:33,8959,200,163,200,959,3,0,0,IMG_1028.CR3,
76,14:48:48,9002,200,173,200,1001,4,0,0,IMG_1029.CR3,
77,14:49:03,8994,200,189,200,994,3,0,0,IMG_1030.CR3,
78,14:49:18,8872,200,76,200,872,3,0,0,IMG_1031.CR3,
79,14:49:33,8894,200,85,200,894,3,0,0,IMG_1032.CR3,
80,14:49:48,8907,200,99,200,907,3,0,0,IMG_1033.CR3,
81,14:50:03,8924,200,116,200,924,3,0,0,IMG_1034.CR3,
82,14:50:18,8929,200,121,200,929,3,0,0,IMG_1035.CR3,
83,14:50:33,8938,200,142,200,938,3,0,0,IMG_1036.CR3,
84,14:50:48,8965,200,149,200,965,4,0,0,IMG_1037.CR3,
85,14:51:03,8969,200,169,200,969,3,0,0,IMG_1038.CR3,
86,14:51:18,8987,200,186,200,987,3,0,0,IMG_1039.CR3,
87,14:51:33,8861,200,65,200,861,3,0,0,IMG_1040.CR3,
88,14:51:48,8880,200,73,200,880,3,0,0,IMG_1041.CR3,
89,14:52:03,8903,200,92,200,902,3,0,0,IMG_1042.CR3,
90,14:52:18,8929,200,102,200,929,3,0,0,IMG_1043.CR3,
91,14:52:33,8933,200,134,200,933,3,0,0,IMG_1044.CR3,
92,14:52:48,8935,200,131,200,934,3,0,0,IMG_1045.CR3,
93,14:53:03,8957,200,146,200,956,4,0,0,IMG_1046.CR3,
94,14:53:18,8970,200,165,200,969,3,0,0,IMG_1047.CR3,
95,14:53:33,9003,200,181,200,1003,3,0,0,IMG_1048.CR3,
96,14:53:48,8865,200,67,200,865,3,0,0,IMG_1049.CR3,
97,14:54:03,8882,200,68,200,882,3,0,0,IMG_1050.CR3,
98,14:54:18,8900,200,94,200,899,3,0,0,IMG_1051.CR3,
99,14:54:33,8916,200,104,200,915,3,0,0,IMG_1052.CR3,
100,14:54:48,8923,200,111,200,923,3,0,0,IMG_1053.CR3,
