frame,wallclock,cycle_ms,post_http,post_ms,notify_http,notify_ms,polls,fetch_ms,fetch_http,file,note
1,14:30:03,8945,200,129,200,945,4,0,0,IMG_0954.CR3,
2,14:30:18,8958,200,170,200,958,3,0,0,IMG_0955.CR3,
3,14:30:33,8967,200,163,200,966,3,0,0,IMG_0956.CR3,
4,14:30:48,8973,200,180,200,972,3,0,0,IMG_0957.CR3,
5,14:31:03,8865,200,62,200,865,3,0,0,IMG_0958.CR3,
6,14:31:18,8882,200,71,200,882,3,0,0,IMG_0959.CR3,
7,14:31:33,8904,200,93,200,903,3,0,0,IMG_0960.CR3,
8,14:31:48,8901,200,100,200,901,3,0,0,IMG_0961.CR3,
9,14:32:03,8932,200,110,200,932,4,0,0,IMG_0962.CR3,
10,14:32:18,8935,200,123,200,935,3,0,0,IMG_0963.CR3,
11,14:32:33,8957,200,146,200,956,3,0,0,IMG_0964.CR3,
12,14:32:48,8955,200,152,200,955,3,0,0,IMG_0965.CR3,
13,14:33:03,8969,200,175,200,969,3,0,0,IMG_0966.CR3,
14,14:33:18,8976,200,185,200,976,3,0,0,IMG_0967.CR3,
15,14:33:33,8880,200,72,200,880,3,0,0,IMG_0968.CR3,
16,14:33:48,8894,200,86,200,893,3,0,0,IMG_0969.CR3,
17,14:34:03,8905,200,91,200,905,3,0,0,IMG_0970.CR3,
18,14:34:18,8905,200,109,200,905,4,0,0,IMG_0971.CR3,
19,14:34:33,8940,200,120,200,939,3,0,0,IMG_0972.CR3,
20,14:34:48,8962,200,135,200,961,3,0,0,IMG_0973.CR3,
21,14:35:03,8956,200,149,200,956,3,0,0,IMG_0974.CR3,
22,14:35:18,8962,200,173,200,962,3,0,0,IMG_0975.CR3,
23,14:35:33,8992,200,183,200,992,3,0,0,IMG_0976.CR3,
24,14:35:48,8879,200,72,200,878,3,0,0,IMG_0977.CR3,
25,14:36:03,8879,200,79,200,879,3,0,0,IMG_0978.CR3,
26,14:36:18,8889,200,98,200,889,4,0,0,IMG_0979.CR3,
