frame,wallclock,cycle_ms,post_ms,notify_ms,polls,fetch_ms,http,bytes,medY,meanY,p90,sat,file,note
1,11:47:27,9000,111,924,3,57,200,2658,0.00051,0.00407,0.090,0.0000,IMG_0745.CR3,
2,11:47:42,8961,134,921,3,39,200,2642,0.00051,0.00406,0.090,0.0000,IMG_0746.CR3,
3,11:47:57,8989,136,941,3,48,200,2705,0.00051,0.00406,0.090,0.0000,IMG_0747.CR3,
4,11:48:12,9013,152,963,3,49,200,2642,0.00051,0.00402,0.090,0.0000,IMG_0748.CR3,
5,11:48:27,9046,174,990,3,54,200,2676,0.00051,0.00407,0.090,0.0000,IMG_0749.CR3,
6,11:48:42,9038,186,984,4,50,200,2650,0.00051,0.00411,0.094,0.0000,IMG_0750.CR3,
7,11:48:57,8932,72,876,3,54,200,2696,0.00051,0.00406,0.090,0.0000,IMG_0751.CR3,
8,11:49:12,8933,87,885,3,47,200,2647,0.00051,0.00399,0.090,0.0000,IMG_0752.CR3,
9,11:49:27,8971,92,913,3,57,200,2642,0.00051,0.00401,0.090,0.0000,IMG_0753.CR3,
10,11:49:42,8958,112,911,3,46,200,2665,0.00051,0.00403,0.090,0.0000,IMG_0754.CR3,
11,11:49:57,8971,127,922,3,47,200,2703,0.00051,0.00400,0.090,0.0000,IMG_0755.CR3,
12,11:50:12,9001,142,946,3,54,200,2686,0.00051,0.00408,0.090,0.0000,IMG_0756.CR3,
13,11:50:27,9008,155,958,3,49,200,2657,0.00051,0.00404,0.090,0.0000,IMG_0757.CR3,
14,11:50:42,9009,169,960,3,47,200,2656,0.00051,0.00400,0.090,0.0000,IMG_0758.CR3,
15,11:50:57,9030,183,983,4,46,200,2610,0.00051,0.00353,0.075,0.0000,IMG_0759.CR3,
16,11:51:12,8904,72,857,3,45,200,2537,0.00050,0.00282,0.055,0.0000,IMG_0760.CR3,
17,11:51:27,8925,69,874,3,49,200,2531,0.00050,0.00277,0.055,0.0000,IMG_0761.CR3,
18,11:51:42,8961,94,906,3,53,200,2508,0.00050,0.00272,0.055,0.0000,IMG_0762.CR3,
19,11:51:57,8937,102,896,3,39,200,2499,0.00050,0.00270,0.055,0.0000,IMG_0763.CR3,
20,11:52:12,8954,111,910,3,42,200,2501,0.00050,0.00272,0.055,0.0000,IMG_0764.CR3,
21,11:52:27,8965,127,922,3,41,200,2460,0.00050,0.00273,0.055,0.0000,IMG_0765.CR3,
22,11:52:42,9024,149,965,3,58,200,2526,0.00050,0.00274,0.055,0.0000,IMG_0766.CR3,
23,11:52:57,9038,162,981,4,56,200,2517,0.00050,0.00271,0.055,0.0000,IMG_0767.CR3,
24,11:53:12,9009,176,968,3,41,200,2526,0.00050,0.00265,0.055,0.0000,IMG_0768.CR3,
25,11:53:27,9046,193,993,3,52,200,2497,0.00050,0.00262,0.055,0.0000,IMG_0769.CR3,
26,11:53:42,8935,80,875,3,58,200,2496,0.00050,0.00256,0.051,0.0000,IMG_0770.CR3,
27,11:53:57,8954,84,897,3,57,200,2451,0.00050,0.00251,0.051,0.0000,IMG_0771.CR3,
28,11:54:12,8947,106,899,3,47,200,2451,0.00050,0.00246,0.051,0.0000,IMG_0772.CR3,
29,11:54:27,8959,114,909,3,48,200,2448,0.00050,0.00243,0.051,0.0000,IMG_0773.CR3,
30,11:54:42,9006,121,952,3,53,200,2448,0.00050,0.00236,0.047,0.0000,IMG_0774.CR3,
31,11:54:57,9015,136,956,4,58,200,2472,0.00050,0.00237,0.047,0.0000,IMG_0775.CR3,
32,11:55:12,8990,158,948,3,40,200,2454,0.00050,0.00233,0.047,0.0000,IMG_0776.CR3,
33,11:55:27,9004,169,965,3,39,200,2457,0.00050,0.00230,0.047,0.0000,IMG_0777.CR3,
34,11:55:42,9040,188,985,3,52,200,2447,0.00050,0.00227,0.047,0.0000,IMG_0778.CR3,
35,11:55:57,8933,65,875,3,57,200,2459,0.00050,0.00225,0.047,0.0000,IMG_0779.CR3,
36,11:56:12,8936,72,881,3,53,200,2433,0.00050,0.00223,0.047,0.0000,IMG_0780.CR3,
37,11:56:27,8943,91,892,3,50,200,2473,0.00050,0.00223,0.047,0.0000,IMG_0781.CR3,
38,11:56:42,8951,102,901,3,48,200,2457,0.00050,0.00222,0.047,0.0000,IMG_0782.CR3,
39,11:56:57,8976,115,925,3,51,200,2432,0.00050,0.00224,0.047,0.0000,IMG_0783.CR3,
40,11:57:12,9007,129,949,4,56,200,2457,0.00050,0.00226,0.047,0.0000,IMG_0784.CR3,
41,11:57:27,8999,143,951,3,47,200,2487,0.00050,0.00225,0.047,0.0000,IMG_0785.CR3,
42,11:57:42,8997,170,954,3,41,200,2482,0.00050,0.00225,0.047,0.0000,IMG_0786.CR3,
43,11:57:57,9021,172,974,3,45,200,2464,0.00050,0.00224,0.047,0.0000,IMG_0787.CR3,
44,11:59:54,110368,70,102367,4,0,0,0,-1.00000,-1.00000,-1.000,-1.0000,,通知なし
45,12:00:54,60033,30016,30017,1,0,0,0,-1.00000,-1.00000,-1.000,-1.0000,,通知なし
46,12:01:54,60050,30030,30019,1,0,0,0,-1.00000,-1.00000,-1.000,-1.0000,,通知なし
