frame,wallclock,cycle_ms,post_http,post_ms,notify_http,notify_ms,polls,fetch_ms,fetch_http,file,note
86,14:23:34,8953,200,143,200,953,3,0,0,IMG_0939.CR3,
87,14:23:49,8959,200,155,200,958,3,0,0,IMG_0940.CR3,
88,14:24:04,8954,200,171,200,954,3,0,0,IMG_0941.CR3,
89,14:24:19,8985,200,184,200,985,3,0,0,IMG_0942.CR3,
90,14:24:34,8876,200,70,200,876,3,0,0,IMG_0943.CR3,
91,14:24:49,8883,200,83,200,883,3,0,0,IMG_0944.CR3,
92,14:25:04,8895,200,95,200,895,3,0,0,IMG_0945.CR3,
93,14:25:19,8907,200,102,200,906,4,0,0,IMG_0946.CR3,
94,14:25:34,8924,200,117,200,924,3,0,0,IMG_0947.CR3,
95,14:25:49,8941,200,147,200,940,3,0,0,IMG_0948.CR3,
96,14:26:04,8934,200,153,200,933,3,0,0,IMG_0949.CR3,
97,14:26:19,8976,200,166,200,976,3,0,0,IMG_0950.CR3,
98,14:26:34,8985,200,181,200,985,3,0,0,IMG_0951.CR3,
99,14:26:49,8858,200,66,200,857,3,0,0,IMG_0952.CR3,
100,14:27:04,8862,200,82,200,862,3,0,0,IMG_0953.CR3,
