frame,set,mode,thumbs,wallclock,cycle_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,fetch_bytes,iso,iso_ms,file,medY,meanY,note
1,1,a,0,13:15:19,8872,69,200,200,861,4,0,0,0,1250,10,IMG_0001.CR3,-1.00000,-1.00000,
2,1,a,1,13:15:32,8975,78,200,200,877,4,39,200,3064,1600,28,IMG_0002.CR3,0.00047,0.00752,
3,1,a,2,13:15:45,9006,119,200,200,930,3,37,200,2976,1250,37,IMG_0003.CR3,0.00048,0.00898,
4,1,b,2,13:15:58,9004,124,200,200,920,3,52,200,86003,1600,30,IMG_0004.CR3,0.00203,0.00250,
5,1,b,2,13:16:11,9016,131,200,200,940,3,43,200,86503,1250,30,IMG_0005.CR3,0.00204,0.00266,
6,1,b,2,13:16:24,9007,130,200,200,917,3,54,200,87594,1600,33,IMG_0006.CR3,0.00208,0.00285,
