frame,wallclock,cycle_ms,post_ms,lv_ms,fetch_ms,retry,http,bytes,medY,meanY,p90,sat,note
1,06:58:27,9067,76,23,49,0,200,2728,0.00049,0.01224,0.067,0.0000,
2,06:58:42,9050,77,25,48,0,200,2777,0.00049,0.01234,0.067,0.0000,
3,06:58:57,9045,94,25,43,0,200,2770,0.00049,0.01246,0.067,0.0000,
4,06:59:12,9046,110,23,45,0,200,2827,0.00049,0.01258,0.067,0.0000,
5,06:59:27,9041,121,22,40,0,200,2770,0.00049,0.01274,0.067,0.0000,
6,06:59:42,9044,136,23,43,0,200,2784,0.00049,0.01292,0.067,0.0000,
7,06:59:57,9049,163,24,47,0,200,2782,0.00049,0.01307,0.071,0.0000,
8,07:00:12,9056,171,27,55,0,200,2824,0.00049,0.01325,0.071,0.0000,
9,07:00:27,9065,177,23,63,0,200,2837,0.00049,0.01338,0.071,0.0000,
10,07:00:42,9057,69,21,56,0,200,2791,0.00049,0.01353,0.071,0.0000,
11,07:00:57,9046,79,25,44,0,200,2820,0.00049,0.01371,0.071,0.0000,
12,07:01:12,9046,86,22,44,0,200,2814,0.00049,0.01389,0.075,0.0000,
13,07:01:27,9043,102,23,42,0,200,2881,0.00049,0.01406,0.075,0.0000,
14,07:01:42,9044,117,24,43,0,200,2824,0.00049,0.01426,0.075,0.0000,
15,07:01:57,9047,129,24,45,0,200,2867,0.00049,0.01446,0.075,0.0000,
16,07:02:12,9048,144,23,46,0,200,2873,0.00049,0.01462,0.078,0.0000,
17,07:02:27,9047,165,25,46,0,200,2816,0.00049,0.01480,0.078,0.0000,
18,07:02:42,9148,179,25,147,0,200,2831,0.00049,0.01497,0.078,0.0000,
19,07:02:57,9063,69,24,61,0,200,2875,0.00049,0.01512,0.078,0.0000,
20,07:03:15,11509,89,32,2077,4,404,27,-1.00000,-1.00000,-1.000,-1.0000,fetchNG/reseed
21,07:03:30,11521,92,23,2084,4,404,27,-1.00000,-1.00000,-1.000,-1.0000,fetchNG/reseed
22,07:03:45,11512,105,22,2081,4,404,27,-1.00000,-1.00000,-1.000,-1.0000,fetchNG/reseed
23,07:04:01,12519,118,26,3114,4,404,27,-1.00000,-1.00000,-1.000,-1.0000,fetchNG/reseed
24,07:04:15,11515,50,24,2080,4,404,27,-1.00000,-1.00000,-1.000,-1.0000,fetchNG/reseed
25,07:05:29,71112,79,24,32094,4,0,0,-1.00000,-1.00000,-1.000,-1.0000,fetchNG/reseedNG:contents(0)
26,07:09:01,212199,30016,-1,122085,4,0,0,-1.00000,-1.00000,-1.000,-1.0000,fetchNG/reseedNG:contents(0)
27,07:12:34,212169,30015,-1,122063,4,0,0,-1.00000,-1.00000,-1.000,-1.0000,fetchNG/reseedNG:contents(0)
