frame,wallclock,cycle_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,iso,iso_ms,file,medY,meanY,note
1,04:33:38,858,79,200,200,691,4,47,200,1250,12,IMG_0183.CR3,0.00017,0.00003,
2,04:33:43,977,182,200,200,701,3,54,200,1600,40,IMG_0184.CR3,0.00016,0.00002,
3,04:33:48,871,80,200,200,702,3,49,200,1250,39,IMG_0185.CR3,0.00018,0.00004,
4,04:33:53,946,172,200,200,676,4,53,200,1600,44,IMG_0186.CR3,0.00017,0.00003,
5,04:33:58,870,78,200,200,705,3,47,200,1250,39,IMG_0187.CR3,0.00017,0.00003,
6,04:34:02,869,86,200,200,690,3,51,200,1600,42,IMG_0188.CR3,0.00017,0.00003,
7,04:34:07,869,87,200,200,692,4,43,200,1250,46,IMG_0189.CR3,0.00018,0.00004,
8,04:34:12,847,83,200,200,679,3,46,200,1600,38,IMG_0190.CR3,0.00017,0.00004,
9,04:34:17,849,88,200,200,675,4,47,200,1250,39,IMG_0191.CR3,0.00018,0.00004,
10,04:34:22,871,74,200,200,712,4,46,200,1600,39,IMG_0192.CR3,0.00017,0.00004,
11,04:34:27,880,81,200,200,704,3,46,200,1250,48,IMG_0193.CR3,0.00017,0.00004,
12,04:34:32,927,165,200,200,675,3,50,200,1600,37,IMG_0194.CR3,0.00017,0.00004,
13,04:34:37,876,74,200,200,709,3,47,200,1250,44,IMG_0195.CR3,0.00017,0.00004,
14,04:34:41,872,72,200,200,703,3,51,200,1600,45,IMG_0196.CR3,0.00017,0.00003,
15,04:34:46,872,89,200,200,692,4,49,200,1250,40,IMG_0197.CR3,0.00017,0.00004,
16,04:34:51,858,86,200,200,687,4,42,200,1600,43,IMG_0198.CR3,0.00017,0.00002,
17,04:34:56,848,58,200,200,701,3,48,200,1250,39,IMG_0199.CR3,0.00018,0.00005,
18,04:35:01,868,80,200,200,700,3,47,200,1600,40,IMG_0200.CR3,0.00017,0.00004,
19,04:35:06,859,80,200,200,687,3,46,200,1250,45,IMG_0201.CR3,0.00017,0.00003,
20,04:35:11,971,182,200,200,698,3,43,200,1600,47,IMG_0202.CR3,0.00017,0.00003,
21,04:35:16,860,85,200,200,689,4,42,200,1250,42,IMG_0203.CR3,0.00018,0.00004,
22,04:35:20,837,86,200,200,666,4,47,200,1600,37,IMG_0204.CR3,0.00017,0.00003,
23,04:35:25,866,86,200,200,687,3,42,200,1250,50,IMG_0205.CR3,0.00018,0.00004,
24,04:35:30,866,84,200,200,682,3,54,200,1600,45,IMG_0206.CR3,0.00017,0.00003,
25,04:35:35,861,80,200,200,696,3,46,200,1250,39,IMG_0207.CR3,0.00017,0.00004,
26,04:35:40,958,183,200,200,692,3,49,200,1600,34,IMG_0208.CR3,0.00017,0.00004,
27,04:35:45,854,78,200,200,691,4,46,200,1250,38,IMG_0209.CR3,0.00017,0.00003,
28,04:35:50,898,88,200,200,716,4,46,200,1600,47,IMG_0210.CR3,0.00018,0.00004,
29,04:35:55,925,151,200,200,682,3,48,200,1250,44,IMG_0211.CR3,0.00017,0.00004,
30,04:36:00,937,178,200,200,672,3,48,200,1600,38,IMG_0212.CR3,0.00017,0.00003,
31,04:36:04,901,87,200,200,719,3,54,200,1250,39,IMG_0213.CR3,0.00018,0.00004,
32,04:36:09,841,85,200,200,671,3,50,200,1600,33,IMG_0214.CR3,0.00017,0.00004,
33,04:36:14,878,79,200,200,704,4,51,200,1250,43,IMG_0215.CR3,0.00018,0.00005,
34,04:36:19,866,80,200,200,699,4,53,200,1600,32,IMG_0216.CR3,0.00017,0.00003,
35,04:36:24,951,181,200,200,683,3,47,200,1250,39,IMG_0217.CR3,0.00018,0.00004,
36,04:36:29,885,80,200,200,712,3,52,200,1600,40,IMG_0218.CR3,0.00017,0.00004,
37,04:36:34,844,89,200,200,667,3,48,200,1250,40,IMG_0219.CR3,0.00017,0.00004,
38,04:36:39,848,74,200,200,689,3,46,200,1600,39,IMG_0220.CR3,0.00018,0.00004,
39,04:36:44,972,180,200,200,705,4,52,200,1250,34,IMG_0221.CR3,0.00017,0.00004,
40,04:36:48,844,83,200,200,670,4,50,200,1600,39,IMG_0222.CR3,0.00017,0.00003,
41,04:36:53,881,79,200,200,708,4,48,200,1250,44,IMG_0223.CR3,0.00018,0.00004,
42,04:36:58,932,163,200,200,690,3,40,200,1600,38,IMG_0224.CR3,0.00017,0.00003,
43,04:37:03,875,82,200,200,703,3,49,200,1250,36,IMG_0225.CR3,0.00018,0.00004,
44,04:37:08,947,179,200,200,676,3,47,200,1600,43,IMG_0226.CR3,0.00017,0.00003,
45,04:37:13,861,71,200,200,704,3,45,200,1250,38,IMG_0227.CR3,0.00017,0.00004,
46,04:37:18,1003,183,200,200,714,4,54,200,1600,47,IMG_0228.CR3,0.00017,0.00004,
47,04:37:23,858,83,200,200,687,4,42,200,1250,40,IMG_0229.CR3,0.00018,0.00004,
48,04:37:28,868,78,200,200,698,3,48,200,1600,43,IMG_0230.CR3,0.00017,0.00003,
49,04:38:14,42390,86,200,0,42304,4,0,0,,0,IMG_0230.CR3,-1.00000,-1.00000,通知なし
