frame,wallclock,cycle_ms,iso,iso_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,file,medY,meanY,note
53,05:22:55,10077,1250,41,103,200,200,29,1,46,200,IMG_0303.CR3,0.00042,0.00025,
54,05:23:07,10083,1600,35,115,200,200,29,1,51,200,IMG_0304.CR3,0.00040,0.00022,
55,05:23:19,10064,1250,40,97,200,200,24,1,38,200,IMG_0305.CR3,0.00042,0.00024,
56,05:23:31,10059,1600,39,123,200,200,26,1,32,200,IMG_0306.CR3,0.00040,0.00023,
57,05:23:43,10067,1250,39,140,200,200,28,1,37,200,IMG_0307.CR3,0.00042,0.00025,
58,05:23:55,10067,1600,40,141,200,200,32,1,33,200,IMG_0308.CR3,0.00041,0.00023,
59,05:24:07,10065,1250,33,164,200,200,27,1,36,200,IMG_0309.CR3,0.00042,0.00025,
60,05:24:19,10059,1600,35,170,200,200,25,1,32,200,IMG_0310.CR3,0.00040,0.00022,
61,05:24:31,10062,1250,38,62,200,200,28,1,33,200,IMG_0311.CR3,0.00042,0.00024,
62,05:24:44,10063,1600,33,77,200,200,29,1,33,200,IMG_0312.CR3,0.00040,0.00023,
63,05:24:56,10072,1250,34,93,200,200,26,1,44,200,IMG_0313.CR3,0.00042,0.00025,
64,05:25:08,10067,1600,34,92,200,200,25,1,39,200,IMG_0314.CR3,0.00041,0.00023,
65,05:25:20,10077,1250,37,97,200,200,28,1,47,200,IMG_0315.CR3,0.00042,0.00025,
66,05:25:32,10071,1600,34,109,200,200,25,1,44,200,IMG_0316.CR3,0.00041,0.00024,
67,05:25:44,10064,1250,37,108,200,200,24,1,38,200,IMG_0317.CR3,0.00042,0.00025,
68,05:25:56,10068,1600,35,121,200,200,29,1,36,200,IMG_0318.CR3,0.00041,0.00023,
69,05:26:08,10061,1250,38,132,200,200,24,1,35,200,IMG_0319.CR3,0.00042,0.00025,
70,05:26:20,10058,1600,42,156,200,200,24,1,32,200,IMG_0320.CR3,0.00042,0.00024,
71,05:26:32,10068,1250,33,178,200,200,32,1,35,200,IMG_0321.CR3,0.00042,0.00024,
72,05:26:44,10070,1600,34,190,200,200,29,1,39,200,IMG_0322.CR3,0.00041,0.00024,
73,05:26:56,10061,1250,34,53,200,200,24,1,35,200,IMG_0323.CR3,0.00042,0.00025,
74,05:27:08,10064,1600,39,74,200,200,27,1,35,200,IMG_0324.CR3,0.00040,0.00023,
75,05:27:20,10071,1250,33,97,200,200,30,1,39,200,IMG_0325.CR3,0.00042,0.00025,
76,05:27:33,10069,1600,43,88,200,200,29,1,39,200,IMG_0326.CR3,0.00042,0.00025,
77,05:27:45,10077,1250,34,103,200,200,25,1,51,200,IMG_0327.CR3,0.00042,0.00025,
78,05:27:57,10070,1600,37,95,200,200,25,1,43,200,IMG_0328.CR3,0.00042,0.00024,
79,05:28:09,10076,1250,38,104,200,200,29,1,45,200,IMG_0329.CR3,0.00042,0.00025,
80,05:28:21,10075,1600,32,121,200,200,29,1,44,200,IMG_0330.CR3,0.00042,0.00024,
81,05:28:33,10069,1250,40,117,200,200,28,1,39,200,IMG_0331.CR3,0.00042,0.00025,
82,05:28:45,10064,1600,36,121,200,200,24,1,39,200,IMG_0332.CR3,0.00041,0.00024,
83,05:28:57,10307,1250,48,120,200,200,270,1,36,200,IMG_0333.CR3,0.00042,0.00025,
84,05:29:10,10616,1600,35,178,200,200,575,1,39,200,IMG_0334.CR3,0.00042,0.00024,
85,05:29:22,10060,1250,67,151,200,200,26,1,32,200,IMG_0335.CR3,0.00043,0.00026,
86,05:29:34,10063,1600,41,63,200,200,27,1,34,200,IMG_0336.CR3,0.00040,0.00023,
87,05:29:46,10066,1250,34,66,200,200,31,1,33,200,IMG_0337.CR3,0.00042,0.00025,
88,05:29:58,10069,1600,34,87,200,200,27,1,40,200,IMG_0338.CR3,0.00042,0.00024,
89,05:30:10,10071,1250,36,93,200,200,29,1,40,200,IMG_0339.CR3,0.00042,0.00025,
90,05:30:22,10080,1600,37,94,200,200,30,1,48,200,IMG_0340.CR3,0.00042,0.00024,
91,05:30:34,10080,1250,41,91,200,200,37,1,39,200,IMG_0341.CR3,0.00043,0.00025,
92,05:30:46,10074,1600,44,94,200,200,30,1,42,200,IMG_0342.CR3,0.00041,0.00023,
93,05:30:59,10076,1250,37,98,200,200,31,1,42,200,IMG_0343.CR3,0.00043,0.00026,
94,05:31:11,10078,1600,39,103,200,200,27,1,49,200,IMG_0344.CR3,0.00040,0.00023,
95,05:31:23,10074,1250,34,101,200,200,27,1,46,200,IMG_0345.CR3,0.00042,0.00025,
96,05:31:35,10074,1600,37,103,200,200,26,1,47,200,IMG_0346.CR3,0.00041,0.00024,
97,05:31:47,10078,1250,39,104,200,200,31,1,45,200,IMG_0347.CR3,0.00042,0.00025,
98,05:31:59,10079,1600,35,107,200,200,29,1,48,200,IMG_0348.CR3,0.00042,0.00024,
99,05:32:11,10076,1250,34,106,200,200,26,1,47,200,IMG_0349.CR3,0.00042,0.00025,
100,05:32:23,10078,1600,36,103,200,200,30,1,46,200,IMG_0350.CR3,0.00041,0.00023,
101,05:32:35,10085,1250,46,103,200,200,34,1,49,200,IMG_0351.CR3,0.00042,0.00025,
102,05:32:47,10088,1600,36,99,200,200,34,1,52,200,IMG_0352.CR3,0.00042,0.00025,
103,05:32:59,10080,1250,45,88,200,200,35,1,43,200,IMG_0353.CR3,0.00042,0.00025,
104,05:33:11,10075,1600,35,93,200,200,33,1,40,200,IMG_0354.CR3,0.00041,0.00023,
105,05:33:23,10076,1250,40,240,200,200,35,1,38,200,IMG_0355.CR3,0.00043,0.00025,
106,05:33:36,10075,1600,39,96,200,200,29,1,44,200,IMG_0356.CR3,0.00042,0.00025,
107,05:33:48,10070,1250,37,92,200,200,32,1,37,200,IMG_0357.CR3,0.00043,0.00026,
108,05:34:00,10067,1600,40,101,200,200,25,1,40,200,IMG_0358.CR3,0.00040,0.00023,
109,05:34:12,10070,1250,34,127,200,200,29,1,41,200,IMG_0359.CR3,0.00042,0.00024,
110,05:34:24,10084,1600,29,137,200,200,36,1,46,200,IMG_0360.CR3,0.00041,0.00024,
111,05:34:36,10070,1250,46,107,200,200,25,1,44,200,IMG_0361.CR3,0.00042,0.00025,
112,05:34:48,10062,1600,44,112,200,200,25,1,36,200,IMG_0362.CR3,0.00042,0.00025,
113,05:35:00,10066,1250,38,145,200,200,30,1,35,200,IMG_0363.CR3,0.00043,0.00025,
114,05:35:12,10059,1600,40,140,200,200,24,1,33,200,IMG_0364.CR3,0.00041,0.00023,
115,05:35:24,10057,1250,31,178,200,200,23,1,33,200,IMG_0365.CR3,0.00043,0.00026,
116,05:35:36,10058,1600,35,52,200,200,25,1,32,200,IMG_0366.CR3,0.00042,0.00025,
117,05:35:48,10070,1250,33,78,200,200,28,1,40,200,IMG_0367.CR3,0.00043,0.00026,
118,05:36:00,10074,1600,31,96,200,200,30,1,41,200,IMG_0368.CR3,0.00041,0.00023,
119,05:36:12,10073,1250,33,96,200,200,27,1,44,200,IMG_0369.CR3,0.00043,0.00026,
120,05:36:24,10074,1600,36,89,200,200,26,1,47,200,IMG_0370.CR3,0.00041,0.00024,
121,05:36:37,10070,1250,38,96,200,200,26,1,42,200,IMG_0371.CR3,0.00042,0.00025,
122,05:36:49,10071,1600,32,110,200,200,30,1,40,200,IMG_0372.CR3,0.00041,0.00024,
123,05:37:01,10086,1250,32,126,200,200,36,1,48,200,IMG_0373.CR3,0.00043,0.00025,
124,05:37:13,10084,1600,41,109,200,200,33,1,49,200,IMG_0374.CR3,0.00042,0.00024,
125,05:37:25,10078,1250,37,100,200,200,36,1,40,200,IMG_0375.CR3,0.00043,0.00026,
126,05:37:37,10078,1600,33,96,200,200,34,1,42,200,IMG_0376.CR3,0.00040,0.00022,
127,05:37:49,10074,1250,41,100,200,200,34,1,39,200,IMG_0377.CR3,0.00043,0.00025,
128,05:38:01,10082,1600,44,100,200,200,31,1,50,200,IMG_0378.CR3,0.00041,0.00024,
129,05:38:13,10073,1250,38,104,200,200,28,1,43,200,IMG_0379.CR3,0.00043,0.00026,
130,05:38:25,10072,1600,38,100,200,200,27,1,44,200,IMG_0380.CR3,0.00043,0.00026,
131,05:38:37,10080,1250,38,116,200,200,32,1,45,200,IMG_0381.CR3,0.00042,0.00025,
132,05:38:49,10086,1600,36,117,200,200,32,1,52,200,IMG_0382.CR3,0.00042,0.00024,
133,05:39:02,10074,1250,39,94,200,200,33,1,39,200,IMG_0383.CR3,0.00043,0.00026,
134,05:39:14,10143,1600,39,99,200,200,46,1,94,200,IMG_0384.CR3,0.00042,0.00025,
135,05:39:26,10070,1250,33,176,200,200,31,1,37,200,IMG_0385.CR3,0.00043,0.00026,
136,05:39:38,10069,1600,39,174,200,200,34,1,34,200,IMG_0386.CR3,0.00042,0.00024,
137,05:39:50,10056,1250,33,48,200,200,22,1,33,200,IMG_0387.CR3,0.00042,0.00025,
138,05:40:02,10071,1600,38,89,200,200,30,1,40,200,IMG_0388.CR3,0.00041,0.00024,
139,05:40:14,10068,1250,45,72,200,200,28,1,37,200,IMG_0389.CR3,0.00043,0.00026,
140,05:40:26,10068,1600,32,74,200,200,26,1,40,200,IMG_0390.CR3,0.00042,0.00025,
141,05:40:38,10080,1250,38,68,200,200,36,1,42,200,IMG_0391.CR3,0.00043,0.00026,
142,05:40:50,10076,1600,38,59,200,200,40,1,35,200,IMG_0392.CR3,0.00042,0.00025,
143,05:41:02,10063,1250,41,71,200,200,29,1,33,200,IMG_0393.CR3,0.00043,0.00025,
144,05:41:14,10071,1600,40,79,200,200,27,1,41,200,IMG_0394.CR3,0.00042,0.00024,
145,05:41:26,10065,1250,40,83,200,200,23,1,42,200,IMG_0395.CR3,0.00042,0.00025,
146,05:41:38,10074,1600,33,110,200,200,28,1,45,200,IMG_0396.CR3,0.00042,0.00025,
147,05:41:51,10066,1250,36,112,200,200,26,1,38,200,IMG_0397.CR3,0.00043,0.00026,
148,05:42:03,10060,1600,37,121,200,200,25,1,34,200,IMG_0398.CR3,0.00043,0.00026,
149,05:42:15,10063,1250,46,127,200,200,28,1,34,200,IMG_0399.CR3,0.00043,0.00026,
150,05:42:27,10067,1600,39,148,200,200,28,1,36,200,IMG_0400.CR3,0.00042,0.00024,
151,05:42:39,10077,1250,35,176,200,200,42,1,34,200,IMG_0401.CR3,0.00043,0.00026,
152,05:42:51,10075,1600,39,169,200,200,36,1,37,200,IMG_0402.CR3,0.00043,0.00026,
153,05:43:03,10073,1250,36,170,200,200,35,1,36,200,IMG_0403.CR3,0.00043,0.00025,
154,05:43:15,10070,1600,39,176,200,200,29,1,39,200,IMG_0404.CR3,0.00043,0.00025,
155,05:43:27,10067,1250,35,186,200,200,27,1,39,200,IMG_0405.CR3,0.00043,0.00026,
156,05:43:39,10068,1600,37,64,200,200,31,1,35,200,IMG_0406.CR3,0.00041,0.00023,
157,05:43:51,10077,1250,40,60,200,200,39,1,36,200,IMG_0407.CR3,0.00043,0.00026,
158,05:44:03,10070,1600,34,75,200,200,31,1,35,200,IMG_0408.CR3,0.00042,0.00025,
159,05:44:15,10068,1250,36,78,200,200,34,1,33,200,IMG_0409.CR3,0.00043,0.00026,
160,05:44:27,10072,1600,32,92,200,200,30,1,39,200,IMG_0410.CR3,0.00041,0.00024,
161,05:44:40,10070,1250,34,93,200,200,30,1,38,200,IMG_0411.CR3,0.00043,0.00026,
162,05:44:52,10073,1600,36,98,200,200,28,1,43,200,IMG_0412.CR3,0.00042,0.00024,
163,05:45:04,10064,1250,39,94,200,200,24,1,39,200,IMG_0413.CR3,0.00043,0.00026,
164,05:45:16,10071,1600,32,124,200,200,27,1,43,200,IMG_0414.CR3,0.00041,0.00023,
165,05:45:28,10067,1250,32,134,200,200,29,1,36,200,IMG_0415.CR3,0.00043,0.00026,
166,05:45:40,10070,1600,37,126,200,200,31,1,35,200,IMG_0416.CR3,0.00041,0.00023,
167,05:45:52,10068,1250,40,135,200,200,31,1,35,200,IMG_0417.CR3,0.00043,0.00027,
168,05:46:04,10066,1600,41,149,200,200,30,1,35,200,IMG_0418.CR3,0.00042,0.00024,
169,05:46:16,10060,1250,42,161,200,200,23,1,34,200,IMG_0419.CR3,0.00042,0.00025,
170,05:46:28,10068,1600,39,185,200,200,29,1,37,200,IMG_0420.CR3,0.00043,0.00025,
171,05:46:40,10070,1250,31,55,200,200,34,1,34,200,IMG_0421.CR3,0.00043,0.00026,
172,05:46:52,10060,1600,37,61,200,200,26,1,32,200,IMG_0422.CR3,0.00043,0.00026,
173,05:47:04,10068,1250,37,84,200,200,24,1,43,200,IMG_0423.CR3,0.00043,0.00026,
174,05:47:16,10073,1600,38,96,200,200,29,1,42,200,IMG_0424.CR3,0.00041,0.00023,
175,05:47:29,10070,1250,35,97,200,200,26,1,42,200,IMG_0425.CR3,0.00043,0.00026,
176,05:47:41,10082,1600,38,102,200,200,33,1,47,200,IMG_0426.CR3,0.00043,0.00026,
177,05:47:53,10078,1250,35,110,200,200,38,1,39,200,IMG_0427.CR3,0.00043,0.00026,
178,05:48:05,10082,1600,39,97,200,200,35,1,46,200,IMG_0428.CR3,0.00042,0.00025,
179,05:48:17,10069,1250,45,97,200,200,23,1,45,200,IMG_0429.CR3,0.00043,0.00026,
180,05:48:29,10079,1600,37,108,200,200,32,1,45,200,IMG_0430.CR3,0.00041,0.00024,
181,05:48:41,10084,1250,36,115,200,200,31,1,50,200,IMG_0431.CR3,0.00043,0.00026,
182,05:48:53,10073,1600,37,98,200,200,31,1,41,200,IMG_0432.CR3,0.00042,0.00025,
183,05:49:05,10077,1250,39,95,200,200,26,1,49,200,IMG_0433.CR3,0.00043,0.00026,
184,05:49:17,10072,1600,37,100,200,200,27,1,43,200,IMG_0434.CR3,0.00042,0.00024,
185,05:49:29,10081,1250,37,115,200,200,32,1,48,200,IMG_0435.CR3,0.00043,0.00026,
186,05:49:41,10083,1600,37,105,200,200,27,1,54,200,IMG_0436.CR3,0.00042,0.00025,
187,05:49:53,10076,1250,32,100,200,200,27,1,47,200,IMG_0437.CR3,0.00043,0.00026,
