frame,wallclock,cycle_ms,post_http,post_ms,notify_http,notify_ms,polls,fetch_ms,fetch_http,file,note
1,14:56:23,8915,200,104,200,914,4,0,0,IMG_1054.CR3,
2,14:56:38,8935,200,131,200,934,3,0,0,IMG_1055.CR3,
3,14:56:53,8949,200,137,200,949,3,0,0,IMG_1056.CR3,
4,14:57:08,8945,200,145,200,944,3,0,0,IMG_1057.CR3,
5,14:57:23,8969,200,166,200,969,3,0,0,IMG_1058.CR3,
6,14:57:38,8990,200,183,200,990,3,0,0,IMG_1059.CR3,
7,14:57:53,8876,200,62,200,876,3,0,0,IMG_1060.CR3,
8,14:58:08,8873,200,73,200,873,3,0,0,IMG_1061.CR3,
9,14:58:23,8898,200,94,200,897,4,0,0,IMG_1062.CR3,
10,14:58:38,8898,200,104,200,898,3,0,0,IMG_1063.CR3,
11,14:58:53,8917,200,111,200,917,3,0,0,IMG_1064.CR3,
12,14:59:08,8943,200,126,200,943,3,0,0,IMG_1065.CR3,
13,14:59:23,8962,200,141,200,961,3,0,0,IMG_1066.CR3,
14,14:59:38,8967,200,163,200,967,3,0,0,IMG_1067.CR3,
15,14:59:53,8963,200,173,200,963,3,0,0,IMG_1068.CR3,
16,15:00:08,9008,200,190,200,1007,3,0,0,IMG_1069.CR3,
17,15:00:23,8876,200,77,200,875,4,0,0,IMG_1070.CR3,
18,15:00:38,8901,200,79,200,901,4,0,0,IMG_1071.CR3,
19,15:00:53,8905,200,101,200,905,3,0,0,IMG_1072.CR3,
20,15:01:08,8930,200,108,200,930,3,0,0,IMG_1073.CR3,
21,15:01:23,8942,200,122,200,942,3,0,0,IMG_1074.CR3,
22,15:01:38,8944,200,145,200,943,3,0,0,IMG_1075.CR3,
23,15:01:53,8881,200,74,200,881,3,0,0,IMG_1076.CR3,
24,15:02:08,8895,200,82,200,895,3,0,0,IMG_1077.CR3,
25,15:02:23,8911,200,97,200,911,3,0,0,IMG_1078.CR3,
26,15:02:38,8910,200,113,200,909,4,0,0,IMG_1079.CR3,
27,15:02:53,8936,200,125,200,935,3,0,0,IMG_1080.CR3,
28,15:03:08,8965,200,139,200,964,3,0,0,IMG_1081.CR3,
29,15:03:23,8964,200,162,200,964,3,0,0,IMG_1082.CR3,
30,15:03:38,8969,200,170,200,969,3,0,0,IMG_1083.CR3,
31,15:03:53,8991,200,190,200,991,3,0,0,IMG_1084.CR3,
32,15:04:08,8858,200,65,200,858,3,0,0,IMG_1085.CR3,
33,15:04:23,8883,200,84,200,883,3,0,0,IMG_1086.CR3,
34,15:04:38,8909,200,99,200,909,4,0,0,IMG_1087.CR3,
35,15:04:53,8934,200,107,200,934,3,0,0,IMG_1088.CR3,
36,15:05:08,8919,200,121,200,919,3,0,0,IMG_1089.CR3,
37,15:05:23,8935,200,135,200,935,3,0,0,IMG_1090.CR3,
38,15:05:38,8967,200,161,200,966,3,0,0,IMG_1091.CR3,
39,15:05:53,8985,200,169,200,984,3,0,0,IMG_1092.CR3,
