frame,wallclock,cycle_ms,post_http,post_ms,notify_http,notify_ms,polls,fetch_ms,fetch_http,file,note
40,15:06:08,8991,200,186,200,991,3,0,0,IMG_1093.CR3,
41,15:06:23,8884,200,68,200,884,3,0,0,IMG_1094.CR3,
42,15:06:38,8889,200,73,200,888,3,0,0,IMG_1095.CR3,
43,15:06:53,8903,200,95,200,903,4,0,0,IMG_1096.CR3,
44,15:07:08,8911,200,101,200,911,3,0,0,IMG_1097.CR3,
45,15:07:23,8924,200,130,200,923,3,0,0,IMG_1098.CR3,
46,15:07:38,8942,200,131,200,942,3,0,0,IMG_1099.CR3,
47,15:07:53,8964,200,145,200,963,3,0,0,IMG_1100.CR3,
48,15:08:08,8963,200,166,200,963,3,0,0,IMG_1101.CR3,
49,15:08:23,8977,200,181,200,977,3,0,0,IMG_1102.CR3,
50,15:08:38,8878,200,66,200,877,3,0,0,IMG_1103.CR3,
51,15:08:53,8885,200,73,200,885,4,0,0,IMG_1104.CR3,
52,15:09:08,8894,200,81,200,894,3,0,0,IMG_1105.CR3,
53,15:09:23,8912,200,97,200,911,3,0,0,IMG_1106.CR3,
54,15:09:38,8937,200,121,200,936,3,0,0,IMG_1107.CR3,
55,15:09:53,8940,200,127,200,940,3,0,0,IMG_1108.CR3,
56,15:10:08,8949,200,140,200,949,3,0,0,IMG_1109.CR3,
57,15:10:23,8963,200,163,200,963,3,0,0,IMG_1110.CR3,
58,15:10:38,8976,200,175,200,976,3,0,0,IMG_1111.CR3,
59,15:10:53,8991,200,182,200,990,3,0,0,IMG_1112.CR3,
60,15:11:08,8891,200,80,200,891,4,0,0,IMG_1113.CR3,
61,15:11:23,8896,200,88,200,895,3,0,0,IMG_1114.CR3,
62,15:11:38,8894,200,99,200,894,3,0,0,IMG_1115.CR3,
63,15:11:53,8910,200,106,200,910,3,0,0,IMG_1116.CR3,
64,15:12:08,8945,200,121,200,944,3,0,0,IMG_1117.CR3,
65,15:12:23,8952,200,137,200,952,3,0,0,IMG_1118.CR3,
66,15:12:38,8952,200,157,200,951,3,0,0,IMG_1119.CR3,
67,15:12:53,8962,200,169,200,962,3,0,0,IMG_1120.CR3,
68,15:13:08,9006,200,186,200,1006,3,0,0,IMG_1121.CR3,
69,15:13:23,8875,200,64,200,874,4,0,0,IMG_1122.CR3,
70,15:13:38,8884,200,73,200,884,3,0,0,IMG_1123.CR3,
71,15:13:53,8896,200,91,200,895,3,0,0,IMG_1124.CR3,
72,15:14:08,8930,200,100,200,930,3,0,0,IMG_1125.CR3,
73,15:14:23,8933,200,115,200,932,3,0,0,IMG_1126.CR3,
74,15:14:38,8930,200,128,200,930,3,0,0,IMG_1127.CR3,
75,15:14:53,8953,200,146,200,953,3,0,0,IMG_1128.CR3,
76,15:15:08,8973,200,163,200,973,3,0,0,IMG_1129.CR3,
77,15:15:23,8982,200,180,200,982,4,0,0,IMG_1130.CR3,
78,15:15:38,8873,200,66,200,873,3,0,0,IMG_1131.CR3,
79,15:15:53,8870,200,69,200,870,3,0,0,IMG_1132.CR3,
80,15:16:08,8907,200,81,200,907,3,0,0,IMG_1133.CR3,
81,15:16:23,8912,200,97,200,912,3,0,0,IMG_1134.CR3,
82,15:16:38,8914,200,114,200,914,3,0,0,IMG_1135.CR3,
83,15:16:53,8933,200,124,200,933,3,0,0,IMG_1136.CR3,
84,15:17:08,8953,200,138,200,953,3,0,0,IMG_1137.CR3,
85,15:17:23,8973,200,152,200,972,3,0,0,IMG_1138.CR3,
86,15:17:38,8977,200,172,200,977,4,0,0,IMG_1139.CR3,
87,15:17:53,8990,200,180,200,990,3,0,0,IMG_1140.CR3,
88,15:18:08,8858,200,93,200,858,3,0,0,IMG_1141.CR3,
89,15:18:23,8904,200,76,200,904,3,0,0,IMG_1142.CR3,
90,15:18:38,8908,200,97,200,908,3,0,0,IMG_1143.CR3,
91,15:18:53,8911,200,114,200,911,3,0,0,IMG_1144.CR3,
92,15:19:08,8926,200,121,200,926,3,0,0,IMG_1145.CR3,
93,15:19:23,8953,200,135,200,953,3,0,0,IMG_1146.CR3,
94,15:19:38,8989,200,148,200,989,4,0,0,IMG_1147.CR3,
95,15:19:53,8978,200,168,200,978,3,0,0,IMG_1148.CR3,
96,15:20:08,8971,200,199,200,971,3,0,0,IMG_1149.CR3,
97,15:20:23,8861,200,66,200,860,3,0,0,IMG_1150.CR3,
98,15:20:38,8892,200,71,200,892,3,0,0,IMG_1151.CR3,
99,15:20:53,8910,200,96,200,909,3,0,0,IMG_1152.CR3,
100,15:21:08,8909,200,108,200,908,3,0,0,IMG_1153.CR3,
