frame,wallclock,cycle_ms,post_ms,post_http,notify_http,notify_ms,polls,fetch_ms,fetch_http,iso,iso_ms,file,medY,meanY,note
1,17:31:08,10186,83,200,200,2091,3,52,200,1250,14,IMG_0598.CR3,0.00078,0.00142,
2,17:31:22,10149,74,200,200,2065,3,41,200,1600,41,IMG_0599.CR3,0.00077,0.00143,
3,17:31:37,10168,89,200,200,2080,3,53,200,1250,33,IMG_0600.CR3,0.00075,0.00184,
4,17:31:51,10153,74,200,200,2063,3,53,200,1600,36,IMG_0601.CR3,0.00074,0.00147,
5,17:32:05,10171,74,200,200,2084,3,49,200,1250,37,IMG_0602.CR3,0.00072,0.00191,
6,17:32:19,10132,76,200,200,2044,3,44,200,1600,42,IMG_0603.CR3,0.00071,0.00145,
7,17:32:33,10150,86,200,200,2059,3,49,200,1250,40,IMG_0604.CR3,0.00069,0.00188,
8,17:32:47,10140,75,200,200,2059,3,45,200,1600,34,IMG_0605.CR3,0.00063,0.00144,
9,17:33:01,10173,73,200,200,2086,3,52,200,1250,35,IMG_0606.CR3,0.00061,0.00181,
10,17:33:14,8982,75,200,200,895,3,53,200,1600,33,IMG_0607.CR3,0.00057,0.00125,
11,17:33:29,10148,103,200,200,2065,3,45,200,1250,37,IMG_0608.CR3,0.00054,0.00166,
12,17:33:42,8985,72,200,200,896,3,50,200,1600,36,IMG_0609.CR3,0.00057,0.00123,
13,17:33:56,10186,104,200,200,2096,3,44,200,1250,44,IMG_0610.CR3,0.00049,0.00160,
14,17:34:09,8985,91,200,200,897,3,51,200,1600,35,IMG_0611.CR3,0.00051,0.00116,
15,17:34:23,10161,91,200,200,2069,3,57,200,1250,35,IMG_0612.CR3,0.00050,0.00159,
16,17:34:36,8976,71,200,200,889,3,52,200,1600,34,IMG_0613.CR3,0.00052,0.00119,
17,17:34:50,10161,108,200,200,2078,3,46,200,1250,35,IMG_0614.CR3,0.00049,0.00158,
18,17:35:03,8959,75,200,200,872,3,50,200,1600,36,IMG_0615.CR3,0.00049,0.00115,
19,17:35:16,9030,129,200,200,941,3,51,200,1250,37,IMG_0616.CR3,0.00048,0.00149,
20,17:35:29,8997,101,200,200,913,3,49,200,1600,33,IMG_0617.CR3,0.00048,0.00115,
21,17:35:42,9035,124,200,200,945,3,57,200,1250,31,IMG_0618.CR3,0.00048,0.00150,
22,17:35:55,8985,95,200,200,897,3,45,200,1600,40,IMG_0619.CR3,0.00048,0.00116,
23,17:36:08,9025,160,200,200,934,3,52,200,1250,37,IMG_0620.CR3,0.00048,0.00154,
24,17:36:21,9008,108,200,200,919,3,53,200,1600,34,IMG_0621.CR3,0.00048,0.00118,
25,17:36:34,9082,122,200,200,944,3,53,200,1250,33,IMG_0622.CR3,0.00048,0.00156,
26,17:36:47,9072,179,200,200,983,3,52,200,1600,35,IMG_0623.CR3,0.00048,0.00118,
27,17:37:00,9022,115,200,200,930,3,57,200,1250,34,IMG_0624.CR3,0.00048,0.00155,
28,17:37:13,9043,105,200,200,916,4,54,200,1600,33,IMG_0625.CR3,0.00048,0.00119,
29,17:37:26,8989,83,200,200,898,4,58,200,1250,31,IMG_0626.CR3,0.00048,0.00155,
30,17:37:39,9011,96,200,200,921,3,54,200,1600,35,IMG_0627.CR3,0.00048,0.00118,
31,17:37:52,9000,96,200,200,911,3,58,200,1250,30,IMG_0628.CR3,0.00048,0.00154,
32,17:38:05,8986,118,200,200,902,3,42,200,1600,40,IMG_0629.CR3,0.00048,0.00116,
33,17:38:18,9042,135,200,200,953,3,55,200,1250,34,IMG_0630.CR3,0.00048,0.00153,
34,17:38:31,9007,110,200,200,918,3,54,200,1600,34,IMG_0631.CR3,0.00048,0.00115,
35,17:38:44,9035,111,200,200,936,3,57,200,1250,40,IMG_0632.CR3,0.00048,0.00150,
36,17:38:57,8970,89,200,200,887,3,39,200,1600,41,IMG_0633.CR3,0.00048,0.00117,
37,17:39:10,9018,141,200,200,935,3,43,200,1250,36,IMG_0634.CR3,0.00048,0.00152,
38,17:39:23,9007,133,200,200,924,3,38,200,1600,44,IMG_0635.CR3,0.00048,0.00119,
39,17:39:36,9046,127,200,200,960,3,52,200,1250,31,IMG_0636.CR3,0.00048,0.00159,
40,17:39:49,8971,95,200,200,888,3,39,200,1600,43,IMG_0637.CR3,0.00048,0.00122,
41,17:40:02,9031,140,200,200,941,3,49,200,1250,40,IMG_0638.CR3,0.00048,0.00159,
42,17:40:15,9011,120,200,200,926,3,47,200,1600,37,IMG_0639.CR3,0.00048,0.00121,
43,17:40:29,9030,119,200,200,937,3,56,200,1250,36,IMG_0640.CR3,0.00048,0.00156,
44,17:40:41,8984,106,200,200,898,3,41,200,1600,44,IMG_0641.CR3,0.00048,0.00117,
45,17:40:57,9032,142,200,200,941,3,52,200,1250,37,IMG_0642.CR3,0.00048,0.00156,
46,17:41:10,9004,115,200,200,917,3,48,200,1600,39,IMG_0643.CR3,0.00048,0.00120,
47,17:41:23,9033,126,200,200,944,3,55,200,1250,33,IMG_0644.CR3,0.00048,0.00162,
48,17:41:36,8981,97,200,200,894,4,42,200,1600,42,IMG_0645.CR3,0.00048,0.00123,
49,17:41:49,9027,132,200,200,934,3,54,200,1250,38,IMG_0646.CR3,0.00048,0.00165,
50,17:42:44,50484,122,200,0,42483,4,0,0,,0,IMG_0646.CR3,-1.00000,-1.00000,通知なし
